BinLocationName,ArticleSKU
HL-02-10-F-5A,PCK-00-115352-1
HL-02-10-F-5B,PTN-11-101343-2
HL-02-10-F-6A,ICB-96-340E9F-F
HL-02-10-F-6B,DAI-00-50213-2
HL-02-10-F-7A,PTN-11-134467-1
HL-02-10-F-7B,DAI-11-116265-3
HL-02-10-F-8B,DAI-00-150292-3
HL-02-11-B-1B,PTN-11-148020-3
HL-02-11-B-1C,ICB-06-2C3D5F-2
HL-02-11-B-2B,DRY-00-10072-3
HL-02-11-B-2C,PRO-00-004323-2
HL-02-11-B-3B,PTN-11-100668-2
HL-02-11-B-3C,PTN-11-50463-2
HL-02-11-B-4B,PTN-11-90566-2
HL-02-11-B-4C,DAI-00-150290-3
HL-02-11-F-1A,DAI-11-116336-3
HL-02-11-F-1B,CON-11-130119-3
HL-02-11-F-2A,DAI-00-10141-2
HL-02-11-F-2B,DAI-00-004414-2
HL-02-11-F-3A,PTN-11-101341-2
HL-02-11-F-3B,DAI-11-10039-2
HL-02-11-F-4A,CON-00-136136-3
HL-02-11-F-5A,PCK-00-115352-1
HL-02-11-F-5B,PTN-11-101343-2
HL-02-11-F-6A,DAI-11-125283-3
HL-02-11-F-6B,DAI-00-50213-2
HL-02-11-F-7A,CON-11-90505-2
HL-02-11-F-7B,PTN-11-101342-2
HL-02-11-F-8B,DAI-00-150292-3
HL-02-12-B-1B,PTN-11-148023-3
HL-02-12-B-1C,PTN-11-151647-2
HL-02-12-B-2B,DRY-00-10072-3
HL-02-12-B-2C,PRO-00-124418-5
HL-02-12-B-3B,PTN-11-138331-2
HL-02-12-B-3C,PHF-11-132934-3
HL-02-12-B-4B,PRO-00-133294-3
HL-02-12-B-4C,DAI-11-125532-3
HL-02-12-F-1A,DAI-11-116335-3
HL-02-12-F-1B,PTN-11-90560-2
HL-02-12-F-2A,DAI-00-10141-2
HL-02-12-F-2B,DAI-11-116264-3
HL-02-12-F-3A,PTN-11-101341-2
HL-02-12-F-3B,PTN-11-100663-2
HL-02-12-F-4A,CON-00-131874-3
HL-02-12-F-5A,PCK-00-115352-1
HL-02-12-F-5B,PTN-11-138334-2
HL-02-12-F-6B,DAI-00-50213-2
HL-03-01-B-1B,CON-11-125103-3
