BinLocationName,ArticleSKU
FK23-9-B,SPI-00-90500-5
FK23-10-A,PRO-00-123233-5
FK23-10-B,BAK-11-136246-5
FK23-11-A,PRO-00-123234-5
FK23-11-B,SPI-00-90490-5
FK23-12-A,PRO-00-128615-3
FK23-12-B,BAK-11-136245-5
FK23-13-A,PHF-11-136356-3
FK23-13-B,PHF-11-10767-3
FK23-14-A,PHF-11-10306-3
FK23-14-B,BAK-11-136247-5
FK24-1-A,PCK-00-102737-5
FK24-1-B,PCK-00-102736-5
FK24-2-A,PHF-11-10303-3
FK24-2-B,PHF-11-10164-3
FK24-3-A,PHF-11-132609-5
FK24-3-B,PRO-00-123229-5
FK24-4-A,PHF-11-10416-3
FK24-4-B,SPI-00-11655-5
FK24-5-A,PHF-11-10134-3
FK24-5-B,SPI-00-12074-5
FK24-6-A,PHF-11-10107-3
FK24-6-B,PRO-00-90458-5
FK24-7-A,PHF-11-10136-3
FK24-7-B,CON-11-146570-5
FK24-8-A,PHF-11-10359-3
FK24-8-B,PRO-00-10740-5
FK24-9-A,PHF-11-10216-3
FK24-9-B,SPI-00-11656-5
FK24-10-A,PHF-11-10366-3
FK24-10-B,PRO-00-10064-5
FK24-11-A,PHF-11-10217-3
FK24-11-B,PRO-00-10716-5
FK24-12-A,PHF-11-10276-3
FK24-12-B,PRO-00-90577-5
FK24-13-A,PHF-11-00001-3
FK24-13-B,PHF-11-10433-3
FK24-14-A,PHF-11-10405-3
FK24-14-B,PHF-11-10864-3
FK25-1-A,PCK-00-102736-5
FK25-1-B,PCK-00-102737-5
FK25-2-A,PHF-11-132608-5
FK25-2-B,PHF-11-10164-3
FK25-3-A,DAI-11-100317-5
FK25-3-B,SPI-00-90518-5
FK25-4-A,PHF-11-10074-3
FK25-4-B,SPI-00-90511-5
FK25-5-A,PRO-00-10734-5
FK25-5-B,SPI-00-140277-5
FK25-6-A,PHF-11-10124-3
FK25-6-B,SPI-00-12021-5
FK25-7-A,PHF-11-10276-3
FK25-7-B,SPI-00-140276-5
FK25-8-A,DAI-11-100318-5
FK25-8-B,PHF-11-10229-3
FK25-9-A,SPI-00-12084-5
FK25-9-B,SPI-00-90510-5
